name,runtime(ms),ave_time_on_com_min_keys_for_a_given_schema(ms),total_time_on_com_all_min_keys(ms),time_3_to_8,time_9_to_14,time_15,time_16_to_18,max_key_num_on_all_schema,num_of_all_schema,ave_key_num_on_all_schema,num_of_BCNF_schema,ave_key_num_on_BCNF_schema,distribution_key_num_BCNF <key num : num>,num_of_3NF_schema,ave_key_num_on_3NF_schema,distribution_key_num_3NF <key num : num>
ncvoter2000,2228,0.32,208,1860,280,9,50,3,220,1.31,179,1.12,[{ 2 : 22 } { 1 : 157 }],41,2.12,[{ 3 : 5 } { 2 : 36 }]
ncvoter256000,817,0.28,134,628,157,11,0,3,232,1.19,200,1.05,[{ 2 : 10 } { 1 : 190 }],32,2.03,[{ 3 : 1 } { 2 : 31 }]
ncvoter32000,1028,0.24,103,881,110,2,21,4,223,1.18,196,1.06,[{ 3 : 1 } { 2 : 10 } { 1 : 185 }],27,2.07,[{ 4 : 1 } { 2 : 26 }]
ncvoter4000,2377,0.31,195,2046,246,9,51,4,241,1.28,206,1.14,[{ 3 : 3 } { 2 : 23 } { 1 : 180 }],35,2.11,[{ 4 : 1 } { 3 : 2 } { 2 : 32 }]
ncvoter512000,782,0.21,112,595,163,10,1,2,242,1.14,215,1.04,[{ 2 : 8 } { 1 : 207 }],27,2.00,[{ 2 : 27 }]
ncvoter64000,1292,0.24,115,1088,152,10,33,3,224,1.21,192,1.07,[{ 2 : 13 } { 1 : 179 }],32,2.09,[{ 3 : 3 } { 2 : 29 }]
ncvoter8000,1792,0.22,120,1539,170,12,36,3,253,1.21,218,1.07,[{ 2 : 15 } { 1 : 203 }],35,2.06,[{ 3 : 2 } { 2 : 33 }]
ncvoter8060060,1596,0.35,219,1227,283,24,22,3,318,1.13,291,1.04,[{ 3 : 1 } { 2 : 10 } { 1 : 280 }],27,2.07,[{ 3 : 2 } { 2 : 25 }]
pdbx,4,0.02,1,2,1,0,0,2,14,1.29,14,1.29,[{ 2 : 4 } { 1 : 10 }],0,0.00,[]
uniprot_512001r_30c,19506,1.05,3664,11984,5454,315,972,2,1677,1.14,1463,1.02,[{ 2 : 22 } { 1 : 1441 }],214,2.00,[{ 2 : 214 }]
breast,3,0.00,0,1,0,0,0,2,39,1.08,37,1.03,[{ 2 : 1 } { 1 : 36 }],2,2.00,[{ 2 : 2 }]
bridges,12,0.05,6,12,0,0,0,3,46,1.30,39,1.15,[{ 3 : 1 } { 2 : 4 } { 1 : 34 }],7,2.14,[{ 3 : 1 } { 2 : 6 }]
china_weather,91551,2.58,10935,79227,10392,297,0,7,1162,1.53,770,1.21,[{ 6 : 1 } { 5 : 1 } { 4 : 3 } { 3 : 11 } { 2 : 119 } { 1 : 635 }],392,2.17,[{ 7 : 2 } { 6 : 1 } { 5 : 3 } { 4 : 1 } { 3 : 41 } { 2 : 344 }]
echo,197,0.14,45,150,31,0,16,3,73,1.52,66,1.45,[{ 3 : 6 } { 2 : 18 } { 1 : 42 }],7,2.14,[{ 3 : 1 } { 2 : 6 }]
hepatitis,33079,1.24,3776,26969,4606,268,18,5,1130,1.41,826,1.12,[{ 3 : 10 } { 2 : 82 } { 1 : 734 }],304,2.18,[{ 5 : 4 } { 4 : 1 } { 3 : 40 } { 2 : 259 }]
horse,19327396,20.37,626265,18531131,627020,18401,40972,11,8073,1.51,5270,1.13,[{ 4 : 12 } { 3 : 67 } { 2 : 518 } { 1 : 4673 }],2803,2.22,[{ 11 : 1 } { 9 : 1 } { 8 : 1 } { 7 : 3 } { 6 : 4 } { 5 : 23 } { 4 : 74 } { 3 : 340 } { 2 : 2356 }]
ncvoter,3065,0.26,191,2751,225,0,47,7,169,1.36,148,1.20,[{ 3 : 1 } { 2 : 28 } { 1 : 119 }],21,2.43,[{ 7 : 1 } { 4 : 1 } { 3 : 2 } { 2 : 17 }]
pdbx,10,0.04,4,7,3,0,0,2,19,1.42,14,1.21,[{ 2 : 3 } { 1 : 11 }],5,2.00,[{ 2 : 5 }]
plista,82591993,45.39,3186746,77519251,3970965,43100,485642,12,14100,1.42,9196,1.07,[{ 5 : 1 } { 4 : 7 } { 3 : 30 } { 2 : 522 } { 1 : 8636 }],4904,2.08,[{ 12 : 1 } { 9 : 1 } { 7 : 1 } { 6 : 2 } { 5 : 12 } { 4 : 44 } { 3 : 235 } { 2 : 4608 }]
uniprot_512001r_30c,550995,4.81,67301,478354,63496,587,421,5,1981,1.32,1564,1.13,[{ 4 : 1 } { 3 : 5 } { 2 : 186 } { 1 : 1372 }],417,2.05,[{ 5 : 1 } { 4 : 2 } { 3 : 15 } { 2 : 399 }]
